,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,C150_4,C150_L4,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost
4062,,Boston University,Boston,1,3,4,2,1.0,0.4561,16460.0,True,,34603.0,59036.0,,27235.0,27281.0,12360.0,0.6283,0.8448,,0.9279,,,,0.4235,0.0317,,,,25500.0,2013,34603.0,59036.0
4063,,Brandeis University,Waltham,1,3,4,2,1.0,0.3704,3603.0,True,,29578.0,58850.0,,19017.0,14309.0,11328.0,0.6667,0.8959,,0.9303,,,,0.5092,0.0077,,,,26000.0,2013,29578.0,58850.0
4064,,Bridgewater State University,Bridgewater,1,3,4,1,1.0,0.7859999999999999,9489.0,True,17477.0,,19303.0,,7711.0,5426.0,8315.0,1.0,0.5751,,0.8140000000000001,,0.2069,,0.5298,0.147,,,,19250.0,2013,17477.0,19303.0
4065,,Bristol Community College,Fall River,1,2,2,1,1.0,,8250.0,True,6113.0,,9237.0,,3710.0,4956.0,5997.0,0.9935,,0.1732,,0.6152,,0.47200000000000003,0.2139,0.3635,,,,3725.0,2013,6113.0,9237.0
4066,,Signature Healthcare Brockton Hospital School of Nursing,Brockton,1,1,1,2,1.0,0.3953,323.0,True,,14797.0,,18463.0,26810.0,11476.0,,,,0.5,,0.8,,1.0,0.8353,0.7028,,,,20000.0,2013,14797.0,18463.0
4067,,Bunker Hill Community College,Boston,1,2,2,1,1.0,,12535.0,True,7483.0,,12219.0,,2931.0,4310.0,7233.0,0.2292,,0.1078,,0.5923,,0.4904,0.0794,0.4702,,,,5500.0,2013,7483.0,12219.0
4068,,Cambridge College,Cambridge,1,3,4,2,1.0,,1042.0,True,,23792.0,26815.0,,9947.0,5072.0,7262.0,1.0,0.0245,,0.7083,,0.5484,,0.545,0.6343,,,,19000.0,2013,23792.0,26815.0
4069,,Cape Cod Community College,West Barnstable,1,2,2,1,1.0,,3459.0,True,8393.0,,13268.0,,3253.0,6071.0,6487.0,0.215,,0.1432,,0.5473,,0.4334,0.1195,0.3915,,,,5500.0,2013,8393.0,13268.0
4070,,Catherine Hinds Institute of Esthetics,Woburn,1,1,1,3,1.0,,171.0,True,,13755.0,,16703.0,6655.0,4491.0,,,,0.8889,,0.9762,,0.8966,0.6848,0.6023,,,,5500.0,2013,13755.0,16703.0
4071,,Laboure College,Milton,1,2,3,2,1.0,0.873,680.0,True,,28130.0,33880.0,,20037.0,8963.0,6409.0,0.3108,0.1429,,,,,,0.8294,0.7034,,,,23750.0,2013,28130.0,33880.0
4072,,Clark University,Worcester,1,3,4,2,1.0,0.6154,2312.0,True,,23415.0,47248.0,,16720.0,10780.0,9630.0,0.5838,0.8094,,0.8859,,1.0,,0.5548,0.0303,,,,23000.0,2013,23415.0,47248.0
4073,,Conway School of Landscape Design,Conway,1,4,4,2,1.0,,,True,,,,,30140.0,17750.0,7360.0,,,,,,,,,,,,,,2013,,
4074,,Curry College,Milton,1,3,4,2,1.0,0.6692,2794.0,True,,30561.0,47519.0,,20075.0,9905.0,8319.0,0.2765,0.4502,,0.7021,,1.0,,0.6274,0.285,,,,18625.0,2013,30561.0,47519.0
4075,,Lincoln Technical Institute-Somerville,Somerville,14,1,1,3,1.0,,331.0,True,,15654.0,,19184.0,13064.0,5586.0,,,,0.5251,,0.7288,,0.5,0.7611,0.4804,,,,8228.0,2013,15654.0,19184.0
4076,,Dean College,Franklin,1,2,3,2,1.0,0.6835,1238.0,True,,25716.0,46673.0,,17320.0,7527.0,6102.0,0.2689,0.4315,,0.5909,,,,0.649,0.1331,,,,9500.0,2013,25716.0,46673.0
4077,,Diman Regional Technical Institute,Fall River,1,1,1,1,1.0,0.3433,80.0,True,13641.0,,,16898.0,5816.0,6804.0,,,,0.2,,0.8182,,1.0,0.6667,0.4625,,,,8601.0,2013,13641.0,16898.0
4078,,National Aviation Academy of New England,Bedford,1,1,1,3,1.0,,247.0,True,,16091.0,,19742.0,14237.0,2881.0,,,,0.6359,,0.6429,,,0.7759,0.3968,,,,14750.0,2013,16091.0,19742.0
