,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost,PREDDEG_N,Governance,EnrollmentBins,TuitionBins,ExpenditureBins,Complete,RetentionFT,RetentionPT
7752,Other,hair academy ii,Hillcrest Heights,1,1,1,3,2.0,,39.0,True,5613.0,11483.0,,0.42979999999999996,0.3529,0.5385,0.56462585034,0.21094177345850001,0.0,7500.0,2013,11079.0,16001.0,Certificate,Private for-profit,small,med,highest,0.3478,0.5161,0.6667
4021,Other,hair academy inc-new carrollton,New Carrollton,1,1,1,3,2.0,,374.0,True,6185.0,7475.0,,0.42979999999999996,0.6869,0.5882,0.56462585034,0.21094177345850001,0.0,5500.0,2013,14455.0,16727.0,Certificate,Private for-profit,medium,high,high,0.5018,0.5106,0.5
2520,Other,hair academy of safford,Safford,1,1,1,3,6.0,,64.0,True,3546.0,3962.0,,0.42979999999999996,0.1957,0.25,0.56462585034,0.21094177345850001,0.0,9500.0,2013,4536.0,9389.0,Certificate,Private for-profit,small,med,med,0.6818,0.7447,
8742,Other,hair academy paul mitchell partner school,Rexburg,1,1,1,3,7.0,,139.0,True,6926.0,2754.0,,0.42979999999999996,0.5389,0.2014,0.56462585034,0.21094177345850001,0.0,10850.0,2013,12922.0,17479.0,Certificate,Private for-profit,small,high,med,0.9692,0.6154,0.5
6936,Other,hair arts academy,Bloomington,1,1,1,3,3.0,,74.0,True,6045.0,10403.0,,0.42979999999999996,0.5618,0.4189,0.56462585034,0.21094177345850001,0.0,7283.0,2013,9186.0,12532.0,Certificate,Private for-profit,small,high,highest,0.3913,0.5,
2730,Other,hair california beauty academy,Orange,1,1,1,3,8.0,,47.0,True,3624.0,330.0,,0.42979999999999996,0.0,0.0638,0.56462585034,0.21094177345850001,0.0,9500.0,2013,7304.0,11467.0,Certificate,Private for-profit,small,med,low,0.8734,0.85,0.6667
9412,Other,hair design institute,Boynton Beach,3,1,1,3,5.0,,67.0,True,9356.0,3041.0,,0.42979999999999996,0.3312,0.3582,0.56462585034,0.21094177345850001,0.0,7481.0,2013,16342.0,20319.0,Certificate,Private for-profit,small,high,med,0.6563,0.6,0.0
9413,Other,hair design institute,Apopka,3,1,1,3,5.0,,122.0,True,8011.0,1487.0,,0.42979999999999996,0.5284,0.5984,0.56462585034,0.21094177345850001,0.0,7481.0,2013,16323.0,19871.0,Certificate,Private for-profit,small,high,low,0.6563,0.9091,1.0
4801,Other,hair design institute at fifth avenue-brooklyn,Brooklyn,2,1,1,3,2.0,,200.0,True,8523.0,1515.0,,0.42979999999999996,0.4407,0.415,0.56462585034,0.21094177345850001,0.0,7375.0,2013,17064.0,20563.0,Certificate,Private for-profit,medium,high,low,0.8312,0.8438,0.6667
9160,Other,hair design institute at fifth avenue-new york,New York,2,1,1,3,2.0,,224.0,True,12303.0,2187.0,,0.42979999999999996,0.4234,0.5357,0.56462585034,0.21094177345850001,0.0,7375.0,2013,17211.0,20476.0,Certificate,Private for-profit,medium,highest,low,0.6018,0.75,1.0
3008,Other,hair dynamics education center,Fort Collins,1,1,1,3,7.0,,174.0,True,4642.0,1626.0,,0.42979999999999996,0.5977,0.47700000000000004,0.56462585034,0.21094177345850001,0.0,11122.5,2013,13335.0,15970.0,Certificate,Private for-profit,medium,med,low,0.6825,0.6452,
8363,Other,hair expressions academy,Rockville,1,1,1,3,2.0,,45.0,True,16011.0,2213.0,,0.42979999999999996,0.6324,0.4889,0.56462585034,0.21094177345850001,0.0,9500.0,2013,13765.0,17755.0,Certificate,Private for-profit,small,highest,low,0.9222,0.9318,
3598,Other,hair fashions by kaye beauty college-indianapolis,Indianapolis,1,1,1,3,3.0,,108.0,True,12234.0,6792.0,,0.42979999999999996,0.9804,0.7407,0.56462585034,0.21094177345850001,0.0,10397.0,2013,16449.0,21725.0,Certificate,Private for-profit,small,highest,high,0.5865,0.7143,
3597,Other,hair fashions by kaye beauty college-noblesville,Noblesville,1,1,1,3,3.0,,70.0,True,10141.0,8345.0,,0.42979999999999996,0.687,0.4,0.56462585034,0.21094177345850001,0.0,7312.0,2013,10996.0,13303.0,Certificate,Private for-profit,small,highest,high,0.7941,0.7059,
3453,Other,hair professionals academy of cosmetology,West Dundee,1,1,1,3,3.0,,218.0,True,8334.0,3311.0,,0.42979999999999996,0.4422,0.5917,0.56462585034,0.21094177345850001,0.0,6333.0,2013,17650.0,20385.0,Certificate,Private for-profit,medium,high,med,0.9706,0.8947,0.875
3454,Other,hair professionals career college,Sycamore,1,1,1,3,3.0,,81.0,True,5888.0,4070.0,,0.42979999999999996,0.424,0.4321,0.56462585034,0.21094177345850001,0.0,9500.0,2013,20791.0,23471.0,Certificate,Private for-profit,small,med,med,0.5,0.6667,0.5714
6957,Other,hair professionals career college,Palos Hills,1,1,1,3,3.0,,87.0,True,5960.0,3013.0,,0.42979999999999996,0.386,0.4713,0.56462585034,0.21094177345850001,0.0,7917.0,2013,21084.0,24448.0,Certificate,Private for-profit,small,med,med,0.7273,0.4,0.75
3455,Other,hair professionals school of cosmetology,Oswego,1,1,1,3,3.0,,92.0,True,5880.0,2159.0,,0.42979999999999996,0.4136,0.2935,0.56462585034,0.21094177345850001,0.0,9833.0,2013,20972.0,23779.0,Certificate,Private for-profit,small,med,low,0.5556,0.3333,0.8
7561,Other,hairitage hair academy,Saint George,1,1,1,3,7.0,,53.0,True,5506.0,5010.0,,0.42979999999999996,0.0,0.4717,0.56462585034,0.21094177345850001,0.0,9500.0,2013,2027.0,7234.0,Certificate,Private for-profit,small,med,med,0.9524,0.9677,0.8667
6935,Other,hairmasters institute of cosmetology,Bloomington,1,1,1,3,3.0,,111.0,True,6945.0,2088.0,,0.42979999999999996,0.5556,0.4595,0.56462585034,0.21094177345850001,0.0,9500.0,2013,8459.0,11620.0,Certificate,Private for-profit,small,high,low,0.8462,0.9,0.8929
5131,Other,halifax community college,Weldon,1,1,2,1,5.0,,1197.0,True,431.0,4794.0,4813.0,0.3892,0.2596,0.4383,0.0996921939175,0.033107377935,0.0,5249.5,2013,3148.0,8075.0,Certificate,Public,large,low,med,0.2594,0.5833,0.1923
